Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(98, 153),     -0.16368,       -0.16368
(155, 156),     -0.16314,       -0.16314
(88, 291),     -0.16273,       -0.16273
(62, 415),     -0.16186,       -0.16186
(52, 375),     -0.16128,       -0.16128
(78, 314),     -0.1611,       -0.1611
(292, 318),     -0.16057,       -0.16057
(33, 157),     -0.16034,       -0.16034
(46, 153),     -0.16029,       -0.16029
(76, 178),     -0.16008,       -0.16008
(158, 160),     -0.15997,       -0.15997
(61, 402),     -0.15899,       -0.15899
(62, 161),     -0.1589,       -0.1589
(61, 161),     -0.15861,       -0.15861
(76, 161),     -0.15856,       -0.15856
(66, 292),     -0.15836,       -0.15836
(78, 161),     -0.1582,       -0.1582
(295, 334),     -0.15811,       -0.15811
(13, 81),     -0.15799,       -0.15799
(65, 308),     -0.15768,       -0.15768
(98, 409),     -0.15678,       -0.15678
(95, 292),     -0.15584,       -0.15584
(95, 318),     -0.1556,       -0.1556
(95, 156),     -0.15536,       -0.15536
(39, 310),     -0.15506,       -0.15506
(105, 133),     -0.15469,       -0.15469
(146, 265),     -0.15461,       -0.15461
(52, 324),     -0.1545,       -0.1545
(70, 398),     -0.15423,       -0.15423
(107, 287),     -0.15383,       -0.15383
(80, 310),     -0.1534,       -0.1534
(7, 156),     -0.1531,       -0.1531
(285, 386),     -0.15207,       -0.15207
(62, 314),     -0.15195,       -0.15195
(178, 310),     -0.15192,       -0.15192
(13, 312),     -0.15181,       -0.15181
(181, 402),     -0.15135,       -0.15135
(61, 181),     -0.15112,       -0.15112
(291, 402),     -0.15109,       -0.15109
(63, 381),     -0.15107,       -0.15107
(88, 276),     -0.15097,       -0.15097
(107, 156),     -0.15052,       -0.15052
(7, 269),     -0.1502,       -0.1502
(80, 415),     -0.1502,       -0.1502
(7, 375),     -0.15018,       -0.15018
(191, 321),     -0.15009,       -0.15009
(91, 292),     -0.15006,       -0.15006
(57, 327),     -0.14952,       -0.14952
(57, 287),     -0.14922,       -0.14922
(293, 300),     -0.14922,       -0.14922
(98, 154),     -0.14897,       -0.14897
(155, 324),     -0.14893,       -0.14893
(154, 308),     -0.14892,       -0.14892
(82, 270),     -0.14879,       -0.14879
(154, 324),     -0.14874,       -0.14874
(156, 382),     -0.1487,       -0.1487
(380, 383),     -0.1487,       -0.1487
(80, 308),     -0.14869,       -0.14869
(57, 310),     -0.1482,       -0.1482
(95, 306),     -0.1478,       -0.1478
(300, 387),     -0.14768,       -0.14768
(66, 156),     -0.14766,       -0.14766
(98, 267),     -0.14712,       -0.14712
(70, 318),     -0.14663,       -0.14663
(158, 353),     -0.14663,       -0.14663
(55, 65),     -0.1461,       -0.1461
(88, 409),     -0.14598,       -0.14598
(157, 383),     -0.14597,       -0.14597
(55, 296),     -0.14592,       -0.14592
(53, 107),     -0.14584,       -0.14584
(336, 386),     -0.14562,       -0.14562
(55, 300),     -0.14529,       -0.14529
(78, 311),     -0.14517,       -0.14517
(57, 317),     -0.14472,       -0.14472
(105, 417),     -0.14461,       -0.14461
(35, 181),     -0.14427,       -0.14427
(191, 308),     -0.14414,       -0.14414
(265, 317),     -0.14383,       -0.14383
(76, 415),     -0.14307,       -0.14307
(80, 402),     -0.14304,       -0.14304
(7, 324),     -0.14285,       -0.14285
(87, 317),     -0.14197,       -0.14197
(95, 324),     -0.14195,       -0.14195
(80, 312),     -0.14192,       -0.14192
(76, 375),     -0.1416,       -0.1416
(156, 374),     -0.14083,       -0.14083
(57, 318),     -0.14045,       -0.14045
(146, 415),     -0.14038,       -0.14038
(146, 308),     -0.1393,       -0.1393
(66, 308),     -0.13919,       -0.13919
(35, 57),     -0.13914,       -0.13914
(95, 291),     -0.13875,       -0.13875
(57, 98),     -0.13862,       -0.13862
(57, 87),     -0.13831,       -0.13831
